ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
8,0,3,RIOK1_3,-7.032,C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,False
8,0,4,RIOK1_3,-6.957,C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,False
9,0,0,RIOK1_6,-9.489,O=C(c1ccc(C=Cc2[nH]nc3ccccc23)cc1)N1CCNCC1,True
9,0,1,RIOK1_6,-9.183,O=C(c1ccc(C=Cc2[nH]nc3ccccc23)cc1)N1CCNCC1,False
9,0,2,RIOK1_6,-9.124,O=C(c1ccc(C=Cc2[nH]nc3ccccc23)cc1)N1CCNCC1,False
9,0,3,RIOK1_6,-9.114,O=C(c1ccc(C=Cc2[nH]nc3ccccc23)cc1)N1CCNCC1,False
9,0,4,RIOK1_6,-8.998,O=C(c1ccc(C=Cc2[nH]nc3ccccc23)cc1)N1CCNCC1,False
10,0,0,RIOK1_5,-9.676,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,True
10,0,1,RIOK1_5,-9.443,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,False
10,0,2,RIOK1_5,-9.117,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,False
10,0,3,RIOK1_5,-8.698,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,False
10,0,4,RIOK1_5,-8.591,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,False
11,0,0,RIOK1_14,-8.617,Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,True
11,0,1,RIOK1_14,-8.347,Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,False
